time,net_in(kB),net_out(kB),MEM(MB),MEM%,CPU%,CPU_freq(Hz)
15:39:54.733322,9.05,9.05,8197.76,13.9,0.3,1.297222222222223
15:39:54.836914,8.93,8.93,8198.0,13.9,0.3,1.2694166666666673
15:39:54.940768,7.25,7.25,8198.0,13.9,0.3,1.2046666666666672
15:39:55.045438,7.22,7.22,8198.0,13.9,0.3,1.2277777777777783
15:39:55.151510,10.11,10.11,8198.0,13.9,0.0,1.218944444444445
15:39:55.259271,13.15,13.15,8198.0,13.9,0.3,1.2037500000000003
15:39:55.368267,6.9,6.9,8198.0,13.9,0.5,1.2052222222222226
15:39:55.478816,6.02,6.02,8198.25,13.9,0.8,1.2531944444444452
15:39:55.589021,9.69,9.69,8198.5,13.9,0.8,1.4162777777777786
15:39:55.693466,7.76,7.76,8199.48,13.9,0.5,1.2971388888888895
15:39:55.797892,7.72,7.72,8199.48,13.9,0.0,1.259611111111112
15:39:55.908287,7.25,7.25,8199.48,13.9,3.2,1.2168333333333339
15:39:56.018771,6.66,6.66,8199.48,13.9,0.8,1.233305555555556
15:39:56.129378,11.26,11.26,8199.69,13.9,0.3,1.2057222222222228
15:39:56.240103,13.69,13.69,8199.69,13.9,0.3,1.1999722222222227
15:39:56.350716,5.9,5.9,8199.69,13.9,0.0,1.1999166666666672
15:39:56.461347,7.22,7.22,8200.42,14.0,0.8,1.199944444444445
15:39:56.571937,6.82,6.82,8200.29,14.0,0.3,1.1999722222222227
15:39:56.682569,8.02,8.02,8200.29,13.9,2.1,1.2816666666666674
15:39:56.793156,8.15,8.15,8200.52,14.0,0.3,1.2499722222222227
15:39:56.903498,6.74,6.74,8200.52,14.0,0.3,1.2499166666666672
15:39:57.013902,6.66,6.66,8200.52,14.0,0.0,1.2499166666666672
15:39:57.124213,6.63,6.63,8200.52,14.0,0.3,1.2499722222222227
15:39:57.234529,13.07,13.07,8200.52,14.0,0.3,1.2498888888888893
15:39:57.344856,6.79,6.79,8200.74,14.0,2.4,1.2498888888888893
15:39:57.455292,6.73,6.73,8200.73,14.0,0.3,1.2499444444444447
15:39:57.565796,6.7,6.7,8200.73,14.0,0.3,1.2499722222222227
15:39:57.676533,69.6,69.6,8200.71,14.0,1.3,1.249944444444445
15:39:57.787130,6.68,6.68,8200.71,14.0,0.3,1.3732777777777783
15:39:57.897971,6.72,6.72,8200.71,14.0,0.8,1.3814722222222227
15:39:58.008576,8.08,8.08,8200.71,14.0,0.3,1.3498611111111116
15:39:58.119096,6.77,6.77,8200.71,14.0,0.3,1.3500000000000005
15:39:58.229630,6.59,6.59,8200.71,14.0,0.3,1.3499722222222226
15:39:58.340183,13.06,13.06,8200.71,14.0,1.8,1.349944444444445
15:39:58.450808,6.76,6.76,8200.71,14.0,0.5,1.3498888888888894
15:39:58.561078,6.58,6.58,8200.71,14.0,1.1,1.3782222222222227
