timestamp,traffic
1192765,214188032
1192766,13164544
1192767,278044672
1192768,22413312
1192769,286146560
1192770,23265280
1192771,240140288
1192772,22011904
1192773,278224896
1192774,11902976
1192775,243638272
1192776,9879552
1192777,160178176
1192778,34439168
1192779,144400384
1192780,74727424
1192781,95805440
1192782,139395072
1192783,54812672
1192784,164847616
1192785,14802944
1192786,217718784
1192787,991232
1192788,189710336
1192789,991232
1192790,223387648
1192791,991232
1192792,261652480
1192793,991232
1192794,253419520
1192795,991232
1192796,193937408
1192797,991232
1192798,255025152
1192799,991232
1192800,213909504
1192801,27688960
1192802,160661504
1192803,33005568
1192804,151027712
1192805,89260032
1192806,92291072
1192807,128319488
1192808,59850752
1192809,185917440
1192810,9814016
1192811,238116864
1192812,991232
1192813,245129216
1192814,991232
1192815,244867072
1192816,991232
1192817,237273088
1192818,991232
1192819,249249792
1192820,991232
1192821,196952064
1192822,34103296
1192823,139534336
1192824,61734912
1192825,124354560
1192826,128172032
1192827,72065024
1192828,140050432
1192829,36691968
1192830,186286080
1192831,8740864
1192832,224518144
1192833,991232
1192834,245587968
1192835,991232
1192836,232833024
1192837,991232
1192838,317440000
1192839,435027968
1192840,41975808
1192841,991232
1192842,991232
1192843,991232
1192845,991232
1192846,991232
1192847,540672
